2020.09.09,2020.12.09
AcceptDivertPowerGame_CoDoSwitch,BBMAHLBBOGP_NCJKOFEBCBF
AdDataCollectScreen_Show,NPKMJIFMIFG_HDADFDPPANM
AlignGame_DisplayClass10,ADJODHAGPFA_LOIAADNPFJN
AlignGame_LockEngine,ADJODHAGPFA_OFPPDKGJGCO
AmongUsClient,FMLLKEACGIO
AmongUsClient_CoBroadcastManager,FMLLKEACGIO_HEHECHEIIHG
AmongUsClient_CoEndGame,FMLLKEACGIO_OFBOJACHMFM
AmongUsClient_CoStartGame,FMLLKEACGIO_PHPILBLJODN
AnnouncementPopUp_Init,MJONEDLPIDC_CBIIBJDBFAJ
AnnouncementPopUp_Show,MJONEDLPIDC_KAFPCLILOKN
Asteroid,MKALGBHFHBK
Asteroid_CoBreakApart,MKALGBHFHBK_MKBOODMLALE
AuthGame_Animate,PABHKMHOCMG_CPHOEPKKMPK
AutoDoorsSystemType,EKACHOMIIBO
AutoDoorsSystemType_c,EKACHOMIIBO_c
AutoOpenDoor,BOFFADCMGAK
BanButton,OBEDBEIDCNL
BanButton_CoSetVotes,OBEDBEIDCNL_BDEMGMNHFOO
BanMenu_c,CPKHIGCPOEM_c
BanMenu_DisplayClass8,CPKHIGCPOEM_KEHOBJCJONP
BlockedWords_LengthCompare,AKPNPAHKJIN_FIKEGIHKGHO
BoardPassGame,LPADAFGIFBC
BoardPassGame_CoFlipPass,LPADAFGIFBC_FNILMGLNOFG
BoardPassGame_CoPullPass,LPADAFGIFBC_OFDFFBOCMIN
BoardPassGame_CoRunBlinky,LPADAFGIFBC_KALGABEIHIE
ButtonDownHandler_CoRunDown,KCMCPOIGKKC_ICALPPHKCLE
CardSlideGame_InsertCard,BJIOFILJGOB_MMEGJIDBNAA
CardSlideGame_PutCardBack,BJIOFILJGOB_PKEJBFAHPFG
ChatBubble,KILPMABPOEH
ChatController_BounceDot,GEHKHGLKFHE_FIAPENCBKPJ
ChatController_CoClose,GEHKHGLKFHE_DJEFCPLAHLL
ChatController_CoOpen,GEHKHGLKFHE_KJEIMFJAEGA
ChatLanguageMenu_DisplayClass2,HMGAMLOJCOI_HGMABBAGOKC
ChatLanguageSet,NEANNPIFIGK
ClientData,ClientData
CloudGenerator_Cloud,MINMAKCOGKM_JMGIHGPGDID
ColorChip,HHCPGBKDLEE
Console,OKACGFOHADL
Controller,ANAACMGELPG
Controller_TouchState,ANAACMGELPG_CLHMEMNMPKD
Controller_TouchState,ANAACMGELPG_CLHMEMNMPKD
CourseStarBehaviour,KBJHHLAPKBP
CreateGameOptions_CoHide,LMAMILNDCOG_NCNCPGGHCCJ
CreateGameOptions_CoShow,LMAMILNDCOG_DCFAFONDDPK
CreateGameOptions_CoStartGame,LMAMILNDCOG_COEDLHLEBJL
CrossFader,KAHLOCGLFHI
CrystalBehaviour,BBBHAHNACAJ
CrystalBehaviour_Flash,BBBHAHNACAJ_PJBIBFKODHJ
